color,director_name,duration,gross,movie_title,num_voted_users,language,country,content_rating,budget,title_year,imdb_score,movie_facebook_likes
Color,James Cameron,178,760505847,Avatar ,886204,English,USA,PG-13,237000000,2009,7.9,33000
Color,James Cameron,178,760505847,Avatar ,886204,English,USA,PG-13,237000000,2009,7.9,33000
Color,Sam Mendes,148,200074175,Spectre ,275868,English,UK,PG-13,245000000,2015,6.8,85000
Color,Christopher Nolan,164,448130642,The Dark Knight Rises ,1144337,English,USA,PG-13,250000000,2012,8.5,164000
,Doug Walker,,,Star Wars: Episode VII - The Force Awakens             ,8,,,,,,7.1,0
Color,Andrew Stanton,132,73058679,John Carter ,212204,English,USA,PG-13,263700000,2012,6.6,24000
Color,Sam Raimi,156,336530303,Spider-Man 3 ,383056,English,USA,PG-13,258000000,2007,6.2,0
Color,Nathan Greno,100,200807262,Tangled ,294810,English,USA,PG,260000000,2010,7.8,29000
Color,Joss Whedon,141,458991599,Avengers: Age of Ultron ,462669,English,USA,PG-13,250000000,2015,7.5,118000
Color,David Yates,153,301956980,Harry Potter and the Half-Blood Prince ,321795,English,UK,PG,250000000,2009,7.5,10000
Color,Zack Snyder,183,330249062,Batman v Superman: Dawn of Justice ,371639,English,USA,PG-13,250000000,2016,6.9,197000
Color,Bryan Singer,169,200069408,Superman Returns ,240396,English,USA,PG-13,209000000,2006,6.1,0
Color,Marc Forster,106,168368427,Quantum of Solace ,330784,English,UK,PG-13,200000000,2008,6.7,0
Color,Gore Verbinski,151,423032628,Pirates of the Caribbean: Dead Man's Chest ,522040,English,USA,PG-13,225000000,2006,7.3,5000
Color,Gore Verbinski,150,89289910,The Lone Ranger ,181792,English,USA,PG-13,215000000,2013,6.5,48000
Color,Zack Snyder,143,291021565,Man of Steel ,548573,English,USA,PG-13,225000000,2013,7.2,118000
Color,Andrew Adamson,150,141614023,The Chronicles of Narnia: Prince Caspian ,149922,English,USA,PG,225000000,2008,6.6,0
Color,Joss Whedon,173,623279547,The Avengers ,995415,English,USA,PG-13,220000000,2012,8.1,123000
Color,Rob Marshall,136,241063875,Pirates of the Caribbean: On Stranger Tides ,370704,English,USA,PG-13,250000000,2011,6.7,58000
Color,Barry Sonnenfeld,106,179020854,Men in Black 3 ,268154,English,USA,PG-13,225000000,2012,6.8,40000
Color,Peter Jackson,164,255108370,The Hobbit: The Battle of the Five Armies ,354228,English,New Zealand,PG-13,250000000,2014,7.5,65000
Color,Marc Webb,153,262030663,The Amazing Spider-Man ,451803,English,USA,PG-13,230000000,2012,7,56000
Color,Ridley Scott,156,105219735,Robin Hood ,211765,English,USA,PG-13,200000000,2010,6.7,17000
Color,Peter Jackson,186,258355354,The Hobbit: The Desolation of Smaug ,483540,English,USA,PG-13,225000000,2013,7.9,83000
Color,Chris Weitz,113,70083519,The Golden Compass ,149019,English,USA,PG-13,180000000,2007,6.1,0
Color,Peter Jackson,201,218051260,King Kong ,316018,English,New Zealand,PG-13,207000000,2005,7.2,0
Color,James Cameron,194,658672302,Titanic ,793059,English,USA,PG-13,200000000,1997,7.7,26000
Color,Anthony Russo,147,407197282,Captain America: Civil War ,272670,English,USA,PG-13,250000000,2016,8.2,72000
Color,Peter Berg,131,65173160,Battleship ,202382,English,USA,PG-13,209000000,2012,5.9,44000
